date,temperature_2m
2024-03-30 22:00:00+00:00,25.369001
2024-03-30 23:00:00+00:00,25.969
2024-03-31 00:00:00+00:00,25.569
2024-03-31 01:00:00+00:00,25.319
2024-03-31 02:00:00+00:00,26.419
2024-03-31 03:00:00+00:00,28.769001
2024-03-31 04:00:00+00:00,31.069
2024-03-31 05:00:00+00:00,33.218998
2024-03-31 06:00:00+00:00,34.869
2024-03-31 07:00:00+00:00,35.619
2024-03-31 08:00:00+00:00,35.869
2024-03-31 09:00:00+00:00,35.768997
2024-03-31 10:00:00+00:00,35.619
2024-03-31 11:00:00+00:00,35.018997
2024-03-31 12:00:00+00:00,33.869
2024-03-31 13:00:00+00:00,29.819
2024-03-31 14:00:00+00:00,29.419
2024-03-31 15:00:00+00:00,28.969
2024-03-31 16:00:00+00:00,27.469
2024-03-31 17:00:00+00:00,26.119001
2024-03-31 18:00:00+00:00,24.619001
2024-03-31 19:00:00+00:00,23.519001
2024-03-31 20:00:00+00:00,22.769001
2024-03-31 21:00:00+00:00,22.419
2024-03-31 22:00:00+00:00,21.919
2024-03-31 23:00:00+00:00,21.619001
2024-04-01 00:00:00+00:00,20.869001
2024-04-01 01:00:00+00:00,21.719
2024-04-01 02:00:00+00:00,23.319
2024-04-01 03:00:00+00:00,25.919
2024-04-01 04:00:00+00:00,28.569
2024-04-01 05:00:00+00:00,30.969
2024-04-01 06:00:00+00:00,32.619
2024-04-01 07:00:00+00:00,33.669
2024-04-01 08:00:00+00:00,34.319
2024-04-01 09:00:00+00:00,34.669
2024-04-01 10:00:00+00:00,34.468998
2024-04-01 11:00:00+00:00,33.968998
2024-04-01 12:00:00+00:00,33.069
2024-04-01 13:00:00+00:00,31.469
2024-04-01 14:00:00+00:00,29.919
2024-04-01 15:00:00+00:00,29.719
2024-04-01 16:00:00+00:00,28.619001
2024-04-01 17:00:00+00:00,26.619001
2024-04-01 18:00:00+00:00,25.019001
2024-04-01 19:00:00+00:00,24.019001
2024-04-01 20:00:00+00:00,23.269001
2024-04-01 21:00:00+00:00,22.619001
2024-04-01 22:00:00+00:00,21.919
2024-04-01 23:00:00+00:00,21.019001
2024-04-02 00:00:00+00:00,20.769001
2024-04-02 01:00:00+00:00,20.969
2024-04-02 02:00:00+00:00,23.569
2024-04-02 03:00:00+00:00,26.719
2024-04-02 04:00:00+00:00,29.419
2024-04-02 05:00:00+00:00,31.469
2024-04-02 06:00:00+00:00,32.819
2024-04-02 07:00:00+00:00,33.468998
2024-04-02 08:00:00+00:00,34.018997
2024-04-02 09:00:00+00:00,34.369
2024-04-02 10:00:00+00:00,34.369
2024-04-02 11:00:00+00:00,34.069
2024-04-02 12:00:00+00:00,33.069
2024-04-02 13:00:00+00:00,31.069
2024-04-02 14:00:00+00:00,29.269001
2024-04-02 15:00:00+00:00,27.669
2024-04-02 16:00:00+00:00,26.569
2024-04-02 17:00:00+00:00,24.219
2024-04-02 18:00:00+00:00,24.719
2024-04-02 19:00:00+00:00,23.319
2024-04-02 20:00:00+00:00,25.669
2024-04-02 21:00:00+00:00,24.719
2024-04-02 22:00:00+00:00,22.169
2024-04-02 23:00:00+00:00,22.919
